original;translate;base_2;general_thema;main_thema;special_thema;part_of_speech;stage
가져오다;Брать с собой / Приносить;가져오;action;;;verb;1
만나다;Встречать;만나;action;;;verb;1
쬐다;Греться под солнцем;쬐;action;;;verb;1
산책하다;Гулять;산책하;action;;;verb;1
질문하세요;Задавайте вопросы;질문하세요;action;;;verb;1
운동하다;Заниматься спортом;운동하;action;;;verb;1
전화하다;Звонить по телефону;전화하;action;;;verb;1
쓰세요;Напишите;쓰세요;action;;;verb;1
대답하세요;Ответьте на вопросы;대답하세요;action;;;verb;1
떼다;Отрывать / Отлеплять;떼;action;;;verb;1
쉬다;Отдыхать;쉬;action;;;verb;1
마시다;Пить;마시;action;;;verb;1
따라 하세요;Повторите;따라 하세요;action;;;verb;1
사다;Покупать;사;action;;;verb;1
읽으세요;Прочитайте;읽으세요;action;;;verb;1
일하다;Работать;일하;action;;;verb;1
깨다;Разбивать;깨;action;;;verb;1
이야기하다;Разговаривать;이야기하;action;;;verb;1
잘 들으세요;Слушайте внимательно;잘 들으세요;action;;;verb;1
듣다;Слушать;듣;action;;;verb;1
보다;Смотреть;보;action;;;verb;1
자다;Спать;자;action;;;verb;1
공부하다;Учиться;공부하;action;;;verb;1
읽다;Читать;읽;action;;;verb;1
아프다;Болеть;아프;action;;;verb;1
침대;Кровать;침대;furniture;;;noun;1
베개;Подушка;베개;furniture;;;noun;1
책상;Стол;책상;furniture;;;noun;1
의자;Стул;의자;furniture;;;noun;1
교실;Аудитория, Класс;교실;place;;;noun;1
도서관;Библиотека;도서관;place;;;noun;1
병원;Больница;병원;place;;;noun;1
근처;В окрестностях;근처;place;;;noun;1
집;Дом;집;place;;;noun;1
노래방;Караоке;노래방;place;;;noun;1
카페;Кафе;카페;place;;;noun;1
영화관;Кинотеатр;영화관;place;;;noun;1
방;Комната;방;place;;;noun;1
가게;Магазин;가게;place;;;noun;1
고향;Родина, родной город;고향;place;;;noun;1
백화점;Универмаг;백화점;place;;;noun;1
시내;Центр города;시내;place;;;noun;1
층;Этаж;층;place;;;noun;1
강의실;Аудитория, Лекционный зал;강의실;place;;;noun;1
바지;Брюки;바지;clothes;;;noun;1
모자;Кепка / шапка;모자;clothes;;;noun;1
옷;Одежда;옷;clothes;;;noun;1
두꺼운 옷;Теплая одежда;두꺼운 옷;clothes;;;noun;1
구두;Туфли;구두;clothes;;;noun;1
수첩;Ежедневник;수첩;items;;;noun;1
책;Книга;책;items;;;noun;1
펜;Ручка;펜;items;;;noun;1
가방;Сумка;가방;items;;;noun;1
텔레빋전;Телевизор;텔레빋전;items;;;noun;1
그림;Рисунок, картина;그림;items;;;noun;1
컴퓨터;Компьютер;컴퓨터;items;;;noun;1
신문;Газета;신문;items;;;noun;1
연필;Карандаш;연필;items;;;noun;1
지우개;Ластик;지우개;items;;;noun;1
오렌지;Апельсин;오렌지;products;;;noun;1
수박;Арбуз;수박;products;;;noun;1
포도;Виноград;포도;products;;;noun;1
물;Вода;물;products;;;noun;1
밥;Еда Рис готовый;밥;products;;;noun;1
불고기;Жареное мясо;불고기;products;;;noun;1
우유;Молоко;우유;products;;;noun;1
야채;Овощи;야채;products;;;noun;1
주스;Сок;주스;products;;;noun;1
빵;Хлеб;빵;products;;;noun;1
사과;Яблоко;사과;products;;;noun;1
안;Внутри;안;location;;;adverb;1
뒤;За;뒤;location;;;adverb;1
위;На / Сверху;위;location;;;adverb;1
앞;Перед;앞;location;;;adverb;1
아래;Под;아래;location;;;adverb;1
옆;Сбоку;옆;location;;;adverb;1
밖;Снаружи;밖;location;;;adverb;1
밑;Снизу;밑;location;;;adverb;1
여기;Здесь;여기;another;;;adverb;1
어디;Где?;어디;another;;;adverb;1
그리거;Также / Кроме того;그리거;union;;;adverb;1
그래서;По этому / потому что;그래서;union;;;adverb;1
